NP_001611,AHNAK,neuroblast differentiation-associated protein AHNAK isoform 1,0.383035,2.453594
NP_076965,AHNAK,neuroblast differentiation-associated protein AHNAK isoform 2,0.185413,2.805300
NP_001714,DST,bullous pemphigoid antigen 1 isoform 1e precursor,-0.024754,2.408782
NP_001074248,MYO1C,unconventional myosin-Ic isoform a,0.455212,3.246877
NP_001074419,MYO1C,unconventional myosin-Ic isoform b,0.460804,3.207259
NP_060227,ZNF407,zinc finger protein 407 isoform 1,-0.811186,4.717893
NP_000251,MYO7A,unconventional myosin-VIIa isoform 1,-0.800483,2.238216
NP_057323,MYO15A,unconventional myosin-XV,-0.134857,5.638354
NP_000375,APOB,apolipoprotein B-100 precursor,0.221710,3.216920
NP_001020029,SPTB,"spectrin beta chain,-1.096024,3.192040
NP_000338,SPTB,"spectrin beta chain,-1.097330,3.191587
NP_004360,COL6A3,collagen alpha-3(VI) chain isoform 1 precursor,0.618091,2.781160
NP_476507,COL6A3,collagen alpha-3(VI) chain isoform 4 precursor,0.651217,2.984606
NP_055874,TLN2,talin-2,0.395633,2.776321
NP_003997,DMD,dystrophin Dp427m isoform,0.234322,2.422197
NP_000055,C3,complement C3 precursor,0.423309,3.917700
NP_061027,LRP1B,low-density lipoprotein receptor-related protein 1B precursor,0.472100,4.015129
